ADX,ST ANDREWS,ST ANDREWS,ST ANDREWS/GB:LEUCHARS,ADX,Y,NULL,GB,EUROP,ITC2,GB053,-2.867,56.37,NULL,N
ADY,ALLDAYS,ALLDAYS,ALLDAYS/ZA,ADY,Y,NULL,ZA,AFRIC,ITC2,ZA,29.1,-22.67,NULL,N
ADZ,SAN ANDRES ISLAND,SAN ANDRES ISLA,SAN ANDRES ISLAND/CO,ADZ,Y,NULL,CO,SAMER,ITC1,CO132,-81.7,12.58,59,N
AEA,ABEMAMA ATOLL,ABEMAMA ATOLL,ABEMAMA ATOLL/KI,AEA,Y,NULL,KI,AUSTL,ITC3,KI069,173.9,0.4833,60,N
AED,ALENEVA,ALENEVA,ALENEVA/AK/US,AED,Y,AK,US,NAMER,ITC1,US111,-152.9,58.03,NULL,N
AEG,AEK GODANG,AEK GODANG,AEK GODANG/ID,AEG,Y,NULL,ID,SEASI,ITC3,ID061,99.45,1.383,NULL,N
AEH,ABECHER,ABECHER,ABECHER/TD,AEH,Y,NULL,TD,AFRIC,ITC2,TD,20.85,13.85,61,N
AEI,ALGECIRAS,ALGECIRAS,ALGECIRAS/ES,AEI,Y,NULL,ES,EUROP,ITC2,ES045,-5.45,36.18,NULL,N
AEK,ASEKI,ASEKI,ASEKI/PG,AEK,Y,NULL,PG,AUSTL,ITC3,PG,146.3,-7.367,62,N
AEL,ALBERT LEA,ALBERT LEA,ALBERT LEA/MN/US,AEL,Y,MN,US,NAMER,ITC1,US107,-93.37,43.68,63,N
AEO,AIOUN EL ATROUSS,AIOUN EL ATROUS,AIOUN EL ATROUSS/MR,AEO,Y,NULL,MR,AFRIC,ITC2,MR,-9.65,16.7,64,N
AEP,BUENOS AIRES AEP,BUENOS AIRES AE,BUENOS AIRES/BA/AR:J. NEWBERY,BUE,Y,BA,AR,SAMER,ITC1,AR003,-58.37,-34.57,65,N
AER,ADLER SOCHI,ADLER SOCHI,ADLER SOCHI/RU,AER,Y,NULL,RU,EURAS,ITC2,RU130,39.93,43.45,66,N
AES,AALESUND,AALESUND,AALESUND/NO:VIGRA,AES,Y,NULL,NO,EUROP,ITC2,NO083,6.1,62.55,67,N
AET,ALLAKAKET,ALLAKAKET,ALLAKAKET/AK/US,AET,Y,AK,US,NAMER,ITC1,US111,-152.7,66.55,68,N
AEU,ABU MUSA,ABU MUSA,ABU MUSA/IR:ABU MUSA AIRPORT,AEU,Y,NULL,IR,MEAST,ITC2,IR120,55.03,25.88,NULL,N
AEX,ALEXANDRIA,ALEXANDRIA,ALEXANDR/LA/US:ALEXANDRIA INTL,AEX,Y,LA,US,NAMER,ITC1,US107,-92.3,31.4,NULL,N
