#CODE_LIGNE^NOM^NATURE^LATITUDE (WGS84)^LONGITUDE (WGS84)
1000^Valdieu^Desserte Voyageur^47.63114^7.05578
1000^Montreux-Vieux^Desserte Voyageur-Infrastructure^47.61738^7.02464
1000^Petit-Croix^Desserte Voyageur-Infrastructure^47.6101^6.99463
1000^Chèvremont^Desserte Voyageur-Infrastructure^47.62166^6.92074
1000^Belfort^Desserte Fret-Desserte Voyageur-Infrastructure^47.63251^6.85414
1000^Trois-Chênes^Desserte Voyageur^47.6479^6.84605
1000^Valdoie^Non exploitée^47.66514^6.83741
1000^Bas-Évette^Desserte Fret-Desserte Voyageur-Infrastructure^47.68086^6.80692
1000^Champagney^Desserte Voyageur-Infrastructure^47.70315^6.70123
1000^Ronchamp^Desserte Voyageur^47.69907^6.62319
1000^Lure^Desserte Fret-Desserte Voyageur-Infrastructure^47.68296^6.49275
1000^Genevreuille^Infrastructure^47.67834^6.38137
1000^Creveney-Saulx^Infrastructure^47.68301^6.287
1000^Colombier^Non exploitée^47.66091^6.2147
1000^Vesoul^Desserte Fret-Desserte Voyageur-Infrastructure^47.61747^6.15174
1000^Vaivre^Non exploitée^47.63328^6.10366
1000^Grattery^Non exploitée^47.67172^6.0823
1000^Port-sur-Saône^Non exploitée^47.68971^6.05314
1000^Port-d'Atelier-Amance^Desserte Fret-Infrastructure^47.76247^6.03999
1000^Montureux-lès-Baulay^Infrastructure^47.81299^5.98703
1000^Jussey^Desserte Fret-Infrastructure^47.83696^5.90323
1000^Barges-Cemboing^Non exploitée^47.85517^5.86334
1000^Vitrey-Vernois^Infrastructure^47.83245^5.7812
1000^Laferté-sur-Amance^Non exploitée^47.82209^5.68365
1000^Charmoy-Fayl-Billot^Non exploitée^47.8259^5.62874
1000^Hortes^Non exploitée^47.83408^5.5491
1000^Chaudenay (Haute-Marne)^Non exploitée^47.82492^5.49012
1000^Culmont-Chalindrey^Desserte Fret-Desserte Voyageur-Infrastructure^47.80974^5.44302
1000^Langres^Desserte Fret-Desserte Voyageur-Infrastructure^47.87723^5.34471
1000^Humes^Non exploitée^47.90584^5.30217
1000^Rolampont^Desserte Fret-Infrastructure^47.9488^5.28289
1000^Vesaignes-sur-Marne^Non exploitée^47.99795^5.26368
1000^Foulain^Infrastructure^48.04167^5.21125
1000^Luzy-sur-Marne^Non exploitée^48.06059^5.1805
1000^Chaumont^Desserte Fret-Desserte Voyageur-Infrastructure^48.10944^5.13443
1000^Villiers-le-Sec^Desserte Fret^48.11205^5.06903
1000^Bricon^Desserte Fret-Infrastructure^48.08739^4.97907
1000^Maranville^Non exploitée^48.14005^4.86866
1000^Clairvaux^Desserte Fret-Infrastructure^48.15818^4.80142
1000^Bayel^Non exploitée^48.19736^4.78456
1000^Bar-sur-Aube^Desserte Fret-Desserte Voyageur-Infrastructure^48.23852^4.70688
1000^Arsonval-Jaucourt^Non exploitée^48.26095^4.64708
1000^Jessains^Desserte Fret-Infrastructure^48.28504^4.58267
1000^Vauchonvilliers-Maisons-des-Champs^Non exploitée^48.26057^4.53789
1000^Vendeuvre (Aube)^Desserte Voyageur-Infrastructure^48.24035^4.46719
1000^La Villeneuve-au-Chène^Non exploitée^48.22928^4.38912
1000^Montiéramey^Infrastructure^48.22691^4.32908
1000^Lusigny^Non exploitée^48.25248^4.2505
