#Nom de la gare^Type^Région^Latitude^Longitude
Auvers-sur-Oise^Gare Ferroviaire de Voyageurs^Ile de France^49.07092^2.17650
Auxerre-St-Gervais^Gare Ferroviaire de Voyageurs^Bourgogne^47.79753^3.58552
Auxonne^Gare Ferroviaire de Voyageurs^Bourgogne^47.19221^5.37765
Avallon^Gare Ferroviaire de Voyageurs^Bourgogne^47.49585^3.91264
Avenay^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.06454^4.04328
Avenue-Foch^Gare Ferroviaire de Voyageurs^Ile de France^48.87140^2.27568
Avenue-Henri-Martin^Gare Ferroviaire de Voyageurs^Ile de France^48.86494^2.27211
Avesnelles^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.11980^3.94605
Avesnes^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.12654^3.93374
Avignon^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.94117^4.80633
Avignonet^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.36390^1.78777
Avignon-TGV^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.92194^4.78581
Avion^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.40649^2.83333
Avord^Gare Ferroviaire de Voyageurs^Centre^47.03485^2.65234
Avoudrey^Gare Ferroviaire de Voyageurs^Franche-Comté^47.12984^6.43461
Avenue du Pdt Kennedy^Gare Ferroviaire de Voyageurs^Ile de France^48.85357^2.27964
Avranches^Gare Ferroviaire de Voyageurs^Basse-Normandie^48.69042^-1.36997
Avrechy^Gare Ferroviaire de Voyageurs^Picardie^49.44502^2.41799
Ax-les-Thermes^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^42.72503^1.83366
Ay^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.04879^4.00166
Aytré-Plage^Gare Ferroviaire de Voyageurs^Poitou-Charentes^46.12754^-1.12829
Azay-le-Rideau^Gare Ferroviaire de Voyageurs^Centre^47.26701^0.44792
Azay-sur-Cher^Gare Ferroviaire de Voyageurs^Centre^47.36519^0.85946
Azerailles^Gare Ferroviaire de Voyageurs^Lorraine^48.49100^6.69674
Baccarat^Gare Ferroviaire de Voyageurs^Lorraine^48.45226^6.74405
Bagnac^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^44.66516^2.16074
Bagneaux-sur-Loing^Gare Ferroviaire de Voyageurs^Ile de France^48.23047^2.70340
Bagnols-Chadenet^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.52832^3.62815
Baillargues^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.65310^4.00667
Bailleau-le-Pin^Gare Ferroviaire de Voyageurs^Centre^48.36675^1.32472
Bailleul (Nord)^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.72900^2.73406
Bailleul-Sire-Berthoult^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.33476^2.84097
Bains-les-Bains^Gare Ferroviaire de Voyageurs^Lorraine^47.98122^6.29519
Bainville^Gare Ferroviaire de Voyageurs^Lorraine^48.58600^6.09954
Baisieux^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.61860^3.23522
Balagny-St-Épin^Gare Ferroviaire de Voyageurs^Picardie^49.29317^2.34536
Balbigny^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.81757^4.18783
Ballan^Gare Ferroviaire de Voyageurs^Centre^47.33676^0.61809
Ballancourt^Gare Ferroviaire de Voyageurs^Ile de France^48.53234^2.37137
Ballersdorf^Gare Ferroviaire de Voyageurs^Alsace^47.61985^7.15515
Balsièges-Bourg^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.48228^3.45686
Banassac-La Canourgue^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.44598^3.19705
Bandol^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.14037^5.74995
Bannalec^Gare Ferroviaire de Voyageurs^Bretagne^47.92651^-3.70673
Banyuls-sur-Mer^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^42.48262^3.12441
Baraqueville-Carcenac-Peyralès^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^44.27024^2.42726
Barentin^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.55017^0.95331
Barenton-Bugny^Gare Ferroviaire de Voyageurs^Picardie^49.63068^3.65560
Barjac^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.49936^3.41057
Bar-le-Duc^Gare Ferroviaire de Voyageurs^Lorraine^48.77317^5.16781
Baroncourt^Gare Ferroviaire de Voyageurs^Lorraine^49.28449^5.69970
Barr^Gare Ferroviaire de Voyageurs^Alsace^48.40305^7.45691
Barsac^Gare Ferroviaire de Voyageurs^Aquitaine^44.60414^-0.32061
Barsanges^Gare Ferroviaire de Voyageurs^Limousin^45.56600^2.01882
Bar-sur-Aube^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^48.23852^4.70688
Bartenheim^Gare Ferroviaire de Voyageurs^Alsace^47.63478^7.48767
Bas-Évette^Gare Ferroviaire de Voyageurs^Franche-Comté^47.68086^6.80692
Bas-Monistrol^Gare Ferroviaire de Voyageurs^Auvergne^45.29797^4.13958
Basse-Ham^Gare Ferroviaire de Voyageurs^Lorraine^49.38053^6.23495
Bassens-Ville^Gare Ferroviaire de Voyageurs^Aquitaine^44.90131^-0.52239
Batz-sur-Mer^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.28091^-2.47941
Baule^Gare Ferroviaire de Voyageurs^Centre^47.81149^1.66784
Baume-les-Dames^Gare Ferroviaire de Voyageurs^Franche-Comté^47.35405^6.35912
Bauvin-Provin^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.51163^2.90502
Bayard^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^48.55152^5.07628
Bayeux^Gare Ferroviaire de Voyageurs^Basse-Normandie^49.26945^-0.69731
Bayon^Gare Ferroviaire de Voyageurs^Lorraine^48.46765^6.32219
Bayonne^Gare Ferroviaire de Voyageurs^Aquitaine^43.49702^-1.47019
Bazancourt^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.36113^4.17416
Baziège^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.45318^1.62123
Bazoches^Gare Ferroviaire de Voyageurs^Picardie^49.30523^3.61422
Béard^Gare Ferroviaire de Voyageurs^Bourgogne^46.86504^3.31787
Beaucaire^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.80215^4.64741
Beaugency^Gare Ferroviaire de Voyageurs^Centre^47.77825^1.62571
Beaulieu-sur-Mer^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.70679^7.33179
