#UIC_CODE,DESCRIPTION,NLS_CODE,PHYSICAL,
8713958,LES GRANGES,FRRGS,Y
8713959,ROMILLY SUR SEINE RUE P SEMARD,FRSMD,Y
8713960,ROMILLY S/SEINE GORNET BOIVIN,FRRGB,Y
8713965,TROYES DELESTRAINT/BELGIQUE,FRTSA,Y
8713966,TROYES LOMBARDS,FRLBD,Y
8713968,ST ANDRE REINE BLANCHE,FRRBH,Y
8713970,ST ANDRE CENTRE COMMERCIAL,FRSDC,Y
8713973,ROSIERES (10),FRRSR,Y
8713977,ST LEGER,FRLGR,Y
8713982,MOUSSEY,FRMSY,Y
8713985,RONCENAY,FRRNY,Y
8713986,LIREY,FRLRY,Y
8713987,MACHY,FRMCY,Y
8713989,LE CHEMINOT,FRTMN,Y
8713990,COURSAN EN OTHE,FROTH,Y
8713999,TOUTRY,FRTRY,Y
8714003,MONT SUR MEURTHE VILLAGE,FRMMV,Y
8714100,NANCY,FRENC,Y
8714101,JARVILLE LA MALGRANGE,FRJAM,Y
8714103,FOUG,FRARB,Y
8714104,TOUL,FRTOL,Y
8714105,FONTENOY SUR MOSELLE,FRARC,Y
8714106,LIVERDUN,FRARD,Y
8714107,FROUARD,FRFRO,Y
8714108,CHAMPIGNEULLES,FRARE,Y
8714109,LANEUVEVILLE DEVANT NANCY,FRARF,Y
8714110,VARANGEVILLE ST NICOLAS,FRARI,Y
8714111,DOMBASLE SUR MEURTHE,FRARJ,Y
8714112,ROSIERES AUX SALINES,FRARK,Y
8714113,BLAINVILLE DAMELEVIERES,FRBLV,Y
8714114,MONT SUR MEURTHE,FRMMT,Y
8714115,LUNEVILLE,FRLNE,Y
8714116,MARAINVILLER,FRARN,Y
8714117,PUNEROT,FRARO,Y
8714118,EMBERMENIL,FRARP,Y
8714119,RUPPES,FRARQ,Y
8714120,EINVAUX,FRARR,Y
8714121,BAYON,FRARS,Y
8714122,XERMAMENIL LAMATH,FRARU,Y
8714123,GERBEVILLER,FRARW,Y
8714124,MOYEN,FRARX,Y
8714125,SOULOSSE,FRARY,Y
8714126,MAGNIERES,FRARZ,Y
8714129,NEUFCHATEAU,FRNCH,Y
8714134,COUSSEY,FRASE,Y
8714136,DOMREMY LA PUCELLE,FRASF,Y
8714137,ST CLEMENT LARONXE,FRASI,Y
8714138,CHENEVIERES,FRASJ,Y
8714139,MENIL FLIN,FRASK,Y
8714140,AZERAILLES,FRASL,Y
8714141,BACCARAT,FRASM,Y
8714142,BERTRICHAMPS,FRASN,Y
8714143,THIAVILLE,FRASO,Y
8714147,HOUDEMONT,FRASQ,Y
8714148,LUDRES,FRASR,Y
8714149,MESSEIN,FRASS,Y
8714150,NEUVES MAISONS,FRAST,Y
8714152,PONT ST VINCENT,FRASU,Y
8714153,BAINVILLE,FRASX,Y
8714154,XEUILLEY,FRASZ,Y
