#office_id	name
PARHX28AH	AMERICAN EXPRESS
PARHX28AL	AMERICAN EXPRESS
PARHX28AM	AMERICAN EXPRESS
NCEHX2888	AMERICAN EXPRESS
PARHX2115	AMERICAN EXPRESS
LUXBY28AX	AMERICAN EXPRESS
BRUBY28HK	AMERICAN EXPRESS
LUXBY28SE	AMERICAN EXPRESS
BRUBY28SV	AMERICAN EXPRESS
BRUBY28CC	AMERICAN EXPRESS
CLE1S213X	AMERICAN EXPRESS
HELSM28AJ	AMERICAN EXPRESS
HELSM28AF	AMERICAN EXPRESS
HELSM28AG	AMERICAN EXPRESS
HELSM28BM	AMERICAN EXPRESS
HELSM28CA	AMERICAN EXPRESS
BUDHU28AC	AMERICAN SERVICE TRAVEL - INTERNET
NYC7M2102	AMERICAN TRAVEL ABROAD
BRUBY28HO	AMEX HONEYWELL
OSLS128AP	AMIGO PLUS
LISMR2001	ANDALTOUR BY HORIZONTES
BOGZ128AI	ANDES TOUR
BCNLB28AC	ANDROMEDA
SAOB228AF	ANTUERPIA AGENCIA DE VIAGENS LTDA
ISTLL28BS	ANTUR TURIZM - INTERNET
CRDG128AA	AONIKENK DE PATAGONIA SUR CAR
BERLB28BK	AP REISESERVICE GMBH
VLNV128AH	AP2000
PMII12002	API AGA TRAVEL
BCNLB28AD	API ANDROMEDA
PMIBC2001	API BARCELO
BCNC32001	API BESTOURS
VLCI12001	API EUROPA TRAVEL
MADGX28AB	API GRUPO 7
MJVI12001	API GRUPO TURISTICO INTERNACIONAL
MADHC2001	API HALCON JOVEN
MADHC2002	API HOTEL RES
MADI12004	API IA VIAJES
MADIX2001	API INTERNACIONAL EXPRESO
MADMR2008	API INTERNACIONAL EXPRESO
AGPI12001	API MARINA SUN TRAVEL
MADI13004	API MOVITRAVEL
PMII12001	API MUNDO JET
FRAP02001	API OFFICE FOR GENERAL USE
LONP02001	API OFFICE FOR GENERAL USE
BCNRK2003	API RACC
BCNUL2001	API TQ3 TRAVEL SOLUTIONS
MADI13003	API TRANSYLVANAIR
PMIUL2001	API TUI.COM
MADVJ2001	API VIAJAR.COM
LISIA2001	API VIAJES IBERIA
PMIIA2002	API VIAJES IBERIA
PMIIA2001	API VIAJES IBERIA
MADI12002	API VIAJES JANEIRO
MADVC2001	API VINCIT ULTRATUR
OVDI12001	API VOLARE TOURS
NYCP02001	API-TEST OFF-GEN USE
BLQKK28AA	APT MARCONI DI BOLOGNA - AMIGO
BTSCK27B6	ARATOUR S.R.O.
ISTLL28AI	ARDASA TURIZM - INTERNET
HELA228AM	AREA TRAVEL AGENCY LTD
HELA228BD	AREA TRAVEL AGENCY LTD
HELA228BE	AREA TRAVEL AGENCY LTD
HELA228BF	AREA TRAVEL AGENCY LTD
HELAT2813	AREA TRAVEL AGENCY LTD
HELAT28BJ	AREA TRAVEL AGENCY LTD
HELA228BA	AREA TRAVEL AGENCY LTD
HELA228BC	AREA TRAVEL AGENCY LTD
HELA228BN	AREA TRAVEL AGENCY LTD
HELAT2109	AREA TRAVEL AGENCY LTD
HELAT2127	AREA TRAVEL AGENCY LTD
HELAT2165	AREA TRAVEL AGENCY LTD
HELAT2266	AREA TRAVEL AGENCY LTD
HELAT2319	AREA TRAVEL AGENCY LTD
HELAT2365	AREA TRAVEL AGENCY LTD
HELAT2391	AREA TRAVEL AGENCY LTD
HELAT28BK	AREA TRAVEL AGENCY LTD
TMPAT2280	AREA TRAVEL AGENCY LTD
LPAI12119	ARINAGA
STOS128BG	ARK TRAVEL - INTERNET OFFICE
EWR1S38AS	ARNOLD TRAVEL CORPORATION
PRGCK27A2	ASIA SPECIAL
MNLPH28AD	ASIAN DEVELOPMENT BANK
BKKIW38BC	ASIAN TRAILS CO.,LTD.
PRGCK27B7	ASIANA  API
MANU128AT	ASPEN TRAVEL
MSY1S38AG	ASSOCIATED TRAVEL AGENCY INC
CAIEG28AB	ASTRA TRAVEL - WWW OFFICE
RIXLA28AK	ASTRA TURE INTERNET
SINGP2699	ASIA TRAVEL
LPAI128AP	ATAMAN TOURS
LPAI128AS	ATAMAN TOURS
BRELB28AL	ATLANTIC REISEBUERO LCC
RIXLA28AF	ATLANTIC TRAVEL
QHVB228AC	ATLANTICO BRASIL VIAGENS E TURISMO LTDA
VIEL128BL	ATLANTIS FLUGREISEN GMBH
PRGCK27B2	ATLANTIS TOUR  API
RIXLA28AH	ATLAS TOURS-INTERNET
AUHAD38FF	ATM OFFICE
ORD1S215D	ATS
UTCUG28AB	ATTENT TRAVEL
BCNI12594	AVASA VIATGES
PRGCK27A7	AVION-PANORAMA
VCEIG28CV	AVIT AGENZIA VICENTINA TURISMO SRL
JNBZA28AW	AWESOME TRAVEL
CORG128AA	B.M.V. VIAJES Y TURISMO
MDZG128AA	BACO TOURS
BCNBX2202	BAIXAS
